flow_id,switch_name,controller_name,firstIp,secondIp,firstPort,secondPort,fwd_count,bwd_count,Srate,Drate,Dur,Bytes,proto_number,N_Conn_P_FirstIP,N_Conn_P_SecondIP,Avg_Packet_Size,label
7825,s1,C1_Sanayi,10.0.1.2,10.0.5.12,48133,5001,4,0,0.6618412921127546,0.0,6.043745,208,17,1,4,51.99998700000325,0
14369,s2,C1_Sanayi,10.0.2.19,10.0.5.12,47984,5002,4,2,0.638814768630873,0.3194073843154365,6.261596,404,6,1,4,67.33332211111298,0
63755,s2,C1_Sanayi,10.0.2.15,10.0.5.11,46130,80,1,0,0.0,0.0,0.0,54,6,1,1,53.999946000054,0
14369,s2,C1_Sanayi,10.0.2.19,10.0.5.12,47984,5002,0,1,0.0,0.0,0.0,54,6,1,4,53.999946000054,0
2660,s2,C1_Sanayi,10.0.2.4,10.0.5.12,34822,5201,6,5,1.1608191049156045,0.9673492540963372,5.168764,803,6,1,4,72.99999336363697,0
46427,s1,C1_Sanayi,10.0.1.1,10.0.5.12,56116,5000,6,0,1.1849068929786168,0.0,5.063689,270,17,1,4,44.99999250000125,0
2660,s2,C1_Sanayi,10.0.2.4,10.0.5.12,34822,5201,0,1,0.0,0.0,0.0,67,6,1,2,66.999933000067,0
9391,s2,C1_Sanayi,10.0.2.4,10.0.5.12,48349,5201,1,0,0.0,0.0,0.0,46,17,1,2,45.999954000046,0
57863,s1,C1_Sanayi,10.0.1.3,10.0.5.11,0,0,1,0,0.0,0.0,0.0,98,1,1,1,97.999902000098,0
7825,s1,C1_Sanayi,10.0.1.2,10.0.5.12,48133,5001,4,0,0.6640267177790166,0.0,6.023854,208,17,1,2,51.99998700000325,0
46427,s1,C1_Sanayi,10.0.1.1,10.0.5.12,56116,5000,6,0,1.179041360770936,0.0,5.08888,270,17,1,1,44.99999250000125,0
57863,s1,C1_Sanayi,10.0.1.3,10.0.5.11,0,0,1,1,0.1994562423919909,0.1994562423919909,5.013631,196,1,1,1,97.9999510000245,0
7825,s1,C1_Sanayi,10.0.1.2,10.0.5.12,48133,5001,4,0,0.660083107763683,0.0,6.059843,208,17,1,1,51.99998700000325,0
46427,s1,C1_Sanayi,10.0.1.1,10.0.5.12,56116,5000,6,0,1.1631044653906637,0.0,5.158608,270,17,1,1,44.99999250000125,0
46427,s1,C1_Sanayi,10.0.1.1,10.0.5.12,56116,5000,6,0,1.176724391535429,0.0,5.0989,270,17,1,2,44.99999250000125,0
7825,s1,C1_Sanayi,10.0.1.2,10.0.5.12,48133,5001,4,0,0.6633029468725846,0.0,6.030427,208,17,1,2,51.99998700000325,0
51406,s1,C1_Sanayi,10.0.1.18,10.0.5.11,44600,80,1,0,0.0,0.0,0.0,74,6,1,1,73.99992600007401,0
46427,s1,C1_Sanayi,10.0.1.1,10.0.5.12,56116,5000,6,0,1.1656415496815855,0.0,5.14738,270,17,1,2,44.99999250000125,0
7825,s1,C1_Sanayi,10.0.1.2,10.0.5.12,48133,5001,4,0,0.6584047839691604,0.0,6.07529,208,17,1,2,51.99998700000325,0
57863,s1,C1_Sanayi,10.0.1.3,10.0.5.11,0,0,2,0,0.1328056963019258,0.0,15.059595,196,1,1,2,97.9999510000245,0
46427,s1,C1_Sanayi,10.0.1.1,10.0.5.12,56116,5000,6,0,1.1507841827015657,0.0,5.213836,270,17,1,1,44.99999250000125,0
42902,s1,C1_Sanayi,10.0.1.18,10.0.5.11,60560,80,1,0,0.0,0.0,0.0,74,6,1,2,73.99992600007401,0
7825,s1,C1_Sanayi,10.0.1.2,10.0.5.12,48133,5001,4,0,0.6554755147121479,0.0,6.10244,208,17,1,2,51.99998700000325,0
46427,s1,C1_Sanayi,10.0.1.1,10.0.5.12,56116,5000,6,0,1.167525057033599,0.0,5.139076,270,17,1,2,44.99999250000125,0
46427,s1,C1_Sanayi,10.0.1.1,10.0.5.12,56116,5000,6,0,1.1588967148754823,0.0,5.177338,270,17,1,2,44.99999250000125,0
7825,s1,C1_Sanayi,10.0.1.2,10.0.5.12,48133,5001,4,0,0.6561666873359173,0.0,6.096012,208,17,1,2,51.99998700000325,0
46427,s1,C1_Sanayi,10.0.1.1,10.0.5.12,56116,5000,6,0,1.1772466476920669,0.0,5.096638,270,17,1,2,44.99999250000125,0
7825,s1,C1_Sanayi,10.0.1.2,10.0.5.12,48133,5001,4,0,0.6580783060537939,0.0,6.078304,208,17,1,2,51.99998700000325,0
2873,s1,C1_Sanayi,10.0.1.18,10.0.5.11,48920,80,1,0,0.0,0.0,0.0,74,6,1,1,73.99992600007401,0
46427,s1,C1_Sanayi,10.0.1.1,10.0.5.12,56116,5000,6,0,1.1674902986420723,0.0,5.139229,270,17,1,2,44.99999250000125,0
2870,s1,C1_Sanayi,10.0.1.18,10.0.5.11,48936,80,1,0,0.0,0.0,0.0,74,6,1,2,73.99992600007401,0
57863,s1,C1_Sanayi,10.0.1.3,10.0.5.11,0,0,2,0,0.1327165992964029,0.0,15.069705,196,1,1,2,97.9999510000245,0
7825,s1,C1_Sanayi,10.0.1.2,10.0.5.12,48133,5001,4,0,0.6588974964695449,0.0,6.070747,208,17,1,1,51.99998700000325,0
46427,s1,C1_Sanayi,10.0.1.1,10.0.5.12,56116,5000,6,0,1.1828666497253877,0.0,5.072423,270,17,1,1,44.99999250000125,0
46427,s1,C1_Sanayi,10.0.1.1,10.0.5.12,56116,5000,6,0,1.1642374206087098,0.0,5.153588,270,17,1,2,44.99999250000125,0
60055,s1,C1_Sanayi,10.0.1.18,10.0.5.11,54230,80,1,0,0.0,0.0,0.0,74,6,1,1,73.99992600007401,0
7825,s1,C1_Sanayi,10.0.1.2,10.0.5.12,48133,5001,4,0,0.6593348629902155,0.0,6.06672,208,17,1,2,51.99998700000325,0
46427,s1,C1_Sanayi,10.0.1.1,10.0.5.12,56116,5000,6,0,1.1668951836401296,0.0,5.14185,270,17,1,2,44.99999250000125,0
20973,s1,C1_Sanayi,10.0.1.18,10.0.5.11,50404,80,1,0,0.0,0.0,0.0,74,6,1,1,73.99992600007401,0
7825,s1,C1_Sanayi,10.0.1.2,10.0.5.12,48133,5001,4,0,0.6567364826802993,0.0,6.090723,208,17,1,2,51.99998700000325,0
46427,s1,C1_Sanayi,10.0.1.1,10.0.5.12,56116,5000,6,0,1.1678018349280963,0.0,5.137858,270,17,1,2,44.99999250000125,0
46572,s1,C1_Sanayi,10.0.1.18,10.0.5.11,37338,80,1,0,0.0,0.0,0.0,74,6,1,1,73.99992600007401,0
7825,s1,C1_Sanayi,10.0.1.2,10.0.5.12,48133,5001,4,0,0.6593072592696129,0.0,6.066974,208,17,1,1,51.99998700000325,0
46427,s1,C1_Sanayi,10.0.1.1,10.0.5.12,56116,5000,6,0,1.1786624381496886,0.0,5.090516,270,17,1,1,44.99999250000125,0
57863,s1,C1_Sanayi,10.0.1.3,10.0.5.11,0,0,2,0,0.1331444812011975,0.0,15.021276,196,1,1,1,97.9999510000245,0
7825,s1,C1_Sanayi,10.0.1.2,10.0.5.12,48133,5001,4,0,0.6614364680350906,0.0,6.047444,208,17,1,2,51.99998700000325,0
46427,s1,C1_Sanayi,10.0.1.1,10.0.5.12,56116,5000,6,0,1.181777231446541,0.0,5.077099,270,17,1,2,44.99999250000125,0
49302,s1,C1_Sanayi,10.0.1.18,10.0.5.11,51896,80,1,0,0.0,0.0,0.0,74,6,1,1,73.99992600007401,0
46427,s1,C1_Sanayi,10.0.1.1,10.0.5.12,56116,5000,6,0,1.1374584401122445,0.0,5.274918,270,17,1,2,44.99999250000125,0
7825,s1,C1_Sanayi,10.0.1.2,10.0.5.12,48133,5001,4,0,0.6595693704558763,0.0,6.064563,208,17,1,2,51.99998700000325,0
61591,s1,C1_Sanayi,10.0.1.18,10.0.5.11,51900,80,1,0,0.0,0.0,0.0,74,6,1,1,73.99992600007401,0
46427,s1,C1_Sanayi,10.0.1.1,10.0.5.12,56116,5000,6,0,1.171740204105426,0.0,5.120589,270,17,1,1,44.99999250000125,0
7825,s1,C1_Sanayi,10.0.1.2,10.0.5.12,48133,5001,4,0,0.6573268194436616,0.0,6.085253,208,17,1,1,51.99998700000325,0
46427,s1,C1_Sanayi,10.0.1.1,10.0.5.12,56116,5000,6,0,1.172717661772981,0.0,5.116321,270,17,1,2,44.99999250000125,0
7825,s1,C1_Sanayi,10.0.1.2,10.0.5.12,48133,5001,4,0,0.6585549164828887,0.0,6.073905,208,17,1,2,51.99998700000325,0
46427,s1,C1_Sanayi,10.0.1.1,10.0.5.12,56116,5000,6,0,1.1662888862582594,0.0,5.144523,270,17,1,1,44.99999250000125,0
57863,s1,C1_Sanayi,10.0.1.3,10.0.5.11,0,0,2,0,0.1330002298243971,0.0,15.037568,196,1,1,1,97.9999510000245,0
46427,s1,C1_Sanayi,10.0.1.1,10.0.5.12,56116,5000,6,0,1.1703142761957297,0.0,5.126828,270,17,1,2,44.99999250000125,0
7825,s1,C1_Sanayi,10.0.1.2,10.0.5.12,48133,5001,4,0,0.6560175340366498,0.0,6.097398,208,17,1,2,51.99998700000325,0
48098,s1,C1_Sanayi,10.0.1.18,10.0.5.11,56442,80,1,0,0.0,0.0,0.0,74,6,1,1,73.99992600007401,0
9391,s2,C1_Sanayi,10.0.2.4,10.0.5.12,48349,5201,319,1,63.72022228170331,0.1997499131087877,5.00626,473912,17,1,2,1480.9749953719531,0
46427,s1,C1_Sanayi,10.0.1.1,10.0.5.12,56116,5000,6,0,1.1700933500474668,0.0,5.127796,270,17,1,2,44.99999250000125,0
9391,s2,C1_Sanayi,10.0.2.4,10.0.5.12,48349,5201,1,0,0.0,0.0,0.0,1490,17,1,2,1489.99851000149,0
